timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,27,/user/search,200,OK,OTUS 1-1,text,true,,553288,484,1,1,null,26,0,10
946681200000,28,/user/search,200,OK,OTUS 1-1,text,true,,553288,484,1,1,null,27,0,10
946681200059,16,/user/search,200,OK,OTUS 1-2,text,true,,553288,484,1,1,null,14,0,1
946681200161,17,/user/search,200,OK,OTUS 1-3,text,true,,553288,484,1,1,null,15,0,0
946681200260,17,/user/search,200,OK,OTUS 1-4,text,true,,553288,484,1,1,null,15,0,0
946681200360,16,/user/search,200,OK,OTUS 1-5,text,true,,553288,484,1,1,null,15,0,0
946681200462,32,/user/search,200,OK,OTUS 1-6,text,true,,553288,484,1,1,null,30,0,1
946681200560,36,/user/search,200,OK,OTUS 1-7,text,true,,553288,484,1,1,null,33,0,1
946681200661,19,/user/search,200,OK,OTUS 1-8,text,true,,553288,484,1,1,null,17,0,1
946681200761,23,/user/search,200,OK,OTUS 1-9,text,true,,553288,484,1,1,null,20,0,1
946681200862,24,/user/search,200,OK,OTUS 1-10,text,true,,553288,484,1,1,null,22,0,1
946681200000,57,/user/search,200,OK,OTUS 1-2,text,true,,553288,484,11,11,null,56,0,13
946681200011,49,/user/search,200,OK,OTUS 1-7,text,true,,553288,484,11,11,null,47,0,2
946681200001,65,/user/search,200,OK,OTUS 1-6,text,true,,553288,484,10,10,null,63,0,12
946681200000,70,/user/search,200,OK,OTUS 1-4,text,true,,553288,484,10,10,null,68,0,13
946681200021,55,/user/search,200,OK,OTUS 1-8,text,true,,553288,484,9,9,null,53,0,1
946681200032,50,/user/search,200,OK,OTUS 1-9,text,true,,553288,484,9,9,null,48,0,0
946681200042,44,/user/search,200,OK,OTUS 1-10,text,true,,553288,484,8,8,null,42,0,0
946681200000,92,/user/search,200,OK,OTUS 1-5,text,true,,553288,484,8,8,null,89,0,12
946681200000,94,/user/search,200,OK,OTUS 1-1,text,true,,553288,484,7,7,null,90,0,13
946681200051,46,/user/search,200,OK,OTUS 1-11,text,true,,553288,484,6,6,null,41,0,0
946681200000,97,/user/search,200,OK,OTUS 1-3,text,true,,553288,484,5,5,null,93,0,13
946681200062,38,/user/search,200,OK,OTUS 1-12,text,true,,553288,484,4,4,null,35,0,0
946681200072,29,/user/search,200,OK,OTUS 1-13,text,true,,553288,484,4,4,null,26,0,0
946681200082,22,/user/search,200,OK,OTUS 1-14,text,true,,553288,484,3,3,null,20,0,0
