timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681200000,216,/user/search,200,OK,OTUS 1-1,text,true,,553288,484,1,1,null,215,0,9
946681200000,234,/user/search,200,OK,OTUS 1-1,text,true,,553288,484,3,3,null,233,0,11
946681200062,236,/user/search,200,OK,OTUS 1-2,text,true,,553288,484,3,3,null,234,0,1
946681200162,263,/user/search,200,OK,OTUS 1-3,text,true,,553288,484,3,3,null,261,0,0
946681200263,272,/user/search,200,OK,OTUS 1-4,text,true,,553288,484,3,3,null,270,0,0
946681200363,278,/user/search,200,OK,OTUS 1-5,text,true,,553288,484,3,3,null,276,0,1
946681200462,294,/user/search,200,OK,OTUS 1-6,text,true,,553288,484,3,3,null,292,0,1
946681200561,294,/user/search,200,OK,OTUS 1-7,text,true,,553288,484,3,3,null,292,0,1
946681200662,281,/user/search,200,OK,OTUS 1-8,text,true,,553288,484,3,3,null,279,0,0
946681200763,272,/user/search,200,OK,OTUS 1-9,text,true,,553288,484,2,2,null,271,0,0
946681200863,254,/user/search,200,OK,OTUS 1-10,text,true,,553288,484,1,1,null,252,0,0
946681200000,408,/user/search,200,OK,OTUS 1-6,text,true,,553288,484,46,46,null,406,0,5
946681199992,414,/user/search,200,OK,OTUS 1-3,text,true,,553288,484,46,46,null,413,0,12
946681199992,415,/user/search,200,OK,OTUS 1-2,text,true,,553288,484,46,46,null,413,0,12
946681199992,417,/user/search,200,OK,OTUS 1-1,text,true,,553288,484,44,44,null,413,0,12
946681200008,402,/user/search,200,OK,OTUS 1-7,text,true,,553288,484,44,44,null,398,0,1
946681200060,3239,/user/search,200,OK,OTUS 1-12,text,true,,553288,484,95,95,null,2187,0,0
946681200379,2938,/user/search,200,OK,OTUS 1-44,text,true,,553288,484,94,94,null,1868,0,0
946681199992,3329,/user/search,200,OK,OTUS 1-5,text,true,,553288,484,93,93,null,2255,0,12
946681200438,2885,/user/search,200,OK,OTUS 1-50,text,true,,553288,484,92,92,null,1810,0,1
